"co_ano","co_mes","tmp_cd","co_cuci_pos","vl_fob_usd","vl_fob_usd_ytd","vl_fob_usd_12m","kg_liquido","kg_liquido_ytd","kg_liquido_12m"
2007,1,200701,"017",114001055,114001055,743570677,43325423,43325423,308558817
2007,1,200701,"017",70316,114071371,651395039,10064,43335487,271188114
2007,2,200702,"017",121688021,235759392,652615890,49839398,93174885,268742454
2007,2,200702,"017",3485,235762877,652596272,505,93175390,268715545
2007,3,200703,"017",27860,235790737,563113531,29841,93205231,231470931
2007,3,200703,"017",142183338,377974075,705238578,57752646,150957877,289209381
2007,4,200704,"017",72149,378046224,600952874,11663,150969540,246209105
2007,4,200704,"017",132189567,510235791,733092511,50531036,201500576,296703928
2007,5,200705,"017",41804,510277595,613819490,26352,201526928,244117363
2007,5,200705,"017",138806894,649084489,752538492,53496190,255023118,297593710
2007,6,200706,"017",123390258,772476724,772513715,46839499,301862917,301867709
2007,6,200706,"017",1977,649086466,772476724,300,255023418,301862917
2007,7,200707,"017",118268268,890744992,776743937,45522542,347385459,304060036
2007,7,200707,"017",39913,890784905,776713534,69645,347455104,304119617
2007,8,200708,"017",53373,890838278,655078886,70231,347525335,254350450
2007,8,200708,"017",121868147,1012706425,776943548,46974253,394499588,301324198
2007,9,200709,"017",107579186,1120285611,884494874,43817712,438317300,345112069
2007,9,200709,"017",93278,1120378889,742404814,95940,438413240,287455363
2007,10,200710,"017",197184,1120576073,742529849,110834,438524074,287554534
2007,10,200710,"017",132367164,1252943237,742707446,48734790,487258864,285758288
2007,11,200711,"017",125752973,1378696210,868418615,46291187,533550051,332023123
2007,11,200711,"017",186447,1378882657,729798168,121161,533671212,278648094
2007,12,200712,"017",125679954,1504651889,732087864,46560187,580302628,278368782
2007,12,200712,"017",89278,1378971935,732175165,71229,533742441,278439711
2007,1,200701,"042a",186450,186450,3536570,1320000,1320000,23291155
2007,1,200701,"042a",732,187182,3147751,819,1320819,20832974
2007,2,200702,"042a",364670,551852,3511415,2200000,3520819,23031474
2007,3,200703,"042a",829864,1381716,3764155,4807720,8328539,24460214
2007,4,200704,"042a",1664042,3045758,4827321,9764000,18092539,30099404
2007,5,200705,"042a",1351531,4397289,6167176,7532985,25625524,37618149
2007,6,200706,"042a",380056,4777345,5907362,2036500,27662024,35512649
2007,7,200707,"042a",681388,5458733,6467210,3392025,31054049,38016674
2007,8,200708,"042a",1027069,6485802,7462347,3694950,34748999,41631504
2007,9,200709,"042a",744380,7230182,7763344,1874325,36623324,40371329
2007,9,200709,"042a",236,7230418,7763572,240,36623564,40371564
2007,10,200710,"042a",14688,7245106,7245106,54000,36677564,36677564
2007,10,200710,"042a",753601,7998707,7812257,2584115,39261679,37941679
2007,11,200711,"042a",44605,8043312,7856130,70000,39331679,38010860
2007,11,200711,"042a",912809,8956121,8404269,3432620,42764299,39243480
2007,12,200712,"042a",908199,9864320,8482604,3888470,46652769,38324230
2007,12,200712,"042a",139,9864459,6818701,125,46652894,28560355
2007,1,200701,"061a",482307,482307,20416156,322415,322415,12694216
2007,1,200701,"061a",8640,490947,17876543,3600,326015,11159468
2007,2,200702,"061a",868383,1359330,18128428,486992,813007,11265200
2007,3,200703,"061a",1772547,3131877,18000498,1225051,2038058,11269882
2007,4,200704,"061a",2559551,5691428,18805812,1673114,3711172,11771713
2007,5,200705,"061a",3208521,8899949,19895430,1987895,5699067,12330114
2007,6,200706,"061a",1863571,10763520,19225915,1174209,6873276,11806583
2007,7,200707,"061a",1863356,12626876,18134651,1108896,7982172,11074137
2007,8,200708,"061a",2156202,14783078,18039507,1301467,9283639,11032761
2007,9,200709,"061a",1098102,15881180,19112175,662370,9946009,11685042
2007,10,200710,"061a",1919738,17800918,19095037,1095425,11041434,11747663
2007,11,200711,"061a",1258372,19059290,19059290,681413,11722847,11722847
2007,12,200712,"061a",2143471,21202761,20720454,1188020,12910867,12588452
2007,1,200701,"111",953527,953527,15719418,2267052,2267052,23132148
2007,1,200701,"111",978430,1931957,15476430,933586,3200638,23002579
2007,2,200702,"111",1047594,4441864,15514304,2552138,7089754,23247934
2007,2,200702,"111",1462313,3394270,16033297,1336978,4537616,23746731
2007,3,200703,"111",984497,7102953,14883246,2463606,11038099,24346217
2007,3,200703,"111",1676592,6118456,15354900,1484739,8574493,23061404
2007,4,200704,"111",1582765,8685718,15314726,1652121,12690220,23205554
2007,4,200704,"111",1418037,10103755,15666802,3068995,15759215,23854261
2007,5,200705,"111",1211238,11314993,15884972,2814426,18573641,24351631
2007,5,200705,"111",1607490,12922483,15360616,1689052,20262693,24162751
2007,6,200706,"111",1382957,14377512,15554285,2713652,23147336,23989430
2007,6,200706,"111",72072,12994555,14377512,170991,20433684,23147336
2007,7,200707,"111",1190015,15567527,14614000,1279944,24427280,22160228
2007,7,200707,"111",1504466,17071993,15140036,3028753,27456033,24255395
2007,8,200708,"111",1400009,18472002,15492451,3011303,30467336,24714560
2007,8,200708,"111",1541382,20013384,15571520,1716334,32183670,25093916
2007,9,200709,"111",1001753,21015137,15588776,2084436,34268106,24714746
2007,9,200709,"111",1977304,22992441,15889488,1895891,36163997,25125898
2007,10,200710,"111",2064630,28270556,16371353,4035922,43330710,27509699
2007,10,200710,"111",3213485,26205926,18166801,3130791,39294788,27571495
2007,11,200711,"111",1408234,31812332,18363797,2771272,48095098,27528341
2007,11,200711,"111",2133542,30404098,18889849,1993116,45323826,27832405
2007,12,200712,"111",2075053,33887385,19581945,2070117,50165215,27188870
2007,12,200712,"111",1554574,35441959,21064447,3285323,53450538,30303202
2007,3,200703,"264a",26196,26196,1023781,74991,74991,2393549
2007,8,200708,"264a",19,26215,1023445,2,74993,2393548
2007,8,200708,"264a",7261,33476,1023632,24948,99941,2389288
2007,10,200710,"264a",14601,48077,1020776,49896,149837,2380201
2007,1,200701,"277b",137527,137527,773687,0,0,12
2007,2,200702,"277b",6855,144382,526542,0,0,8
2007,3,200703,"277b",38079,182461,547338,0,0,8
2007,5,200705,"277b",400,182861,351862,0,0,4
2007,6,200706,"277b",22620,205481,353245,0,0,3
2007,8,200708,"277b",25399,230880,360923,0,0,3
2007,9,200709,"277b",12400,243280,369073,1,1,3
2007,9,200709,"277b",50000,293280,384048,0,1,3
2007,10,200710,"277b",1294,294574,363690,2,3,4
2007,11,200711,"277b",46774,341348,385153,0,3,3
2007,12,200712,"277b",12165,353513,375421,1,4,4
2007,1,200701,"281b",273,273,5135184642,33,33,134766671743
2007,1,200701,"281b",866132381,866132654,4931700276,22102204307,22102204340,127087950365
2007,2,200702,"281b",718149904,1584301364,5649848980,19134819769,41237059490,146222768134
2007,2,200702,"281b",18806,866151460,5649866550,35381,22102239721,146222801515
2007,3,200703,"281b",644,1584302008,4789686900,1015,41237060505,123942663971
2007,3,200703,"281b",827541851,2411843859,4830435587,21303470283,62540530788,124697068867
2007,4,200704,"281b",767607425,3179451284,5598042946,20070776946,82611307734,144767845803
2007,4,200704,"281b",321,3179451605,4684346419,300,82611308034,121825426096
2007,5,200705,"281b",891562872,4071014477,4782108925,22499797667,105111105701,123426891446
2007,6,200706,"281b",735935825,4806950302,5518043782,18898483954,124009589655,142325375395
2007,6,200706,"281b",506,4806950808,4806951021,400,124009590055,124009590255
2007,7,200707,"281b",1089285350,5896236158,5896236158,27266930595,151276520650,151276520650
2007,7,200707,"281b",44,5896236202,5896235929,100,151276520750,151276520717
2007,8,200708,"281b",995296167,6891532369,6025399715,24992028138,176268548888,154166344548
2007,8,200708,"281b",22230,6891554599,5307272041,41356,176268590244,135031566135
2007,9,200709,"281b",116,6891554715,5307253351,140,176268590384,135031530894
2007,9,200709,"281b",890848213,7782402928,6198100920,22789512526,199058102910,157821042405
2007,10,200710,"281b",128,8774582402,5370559197,68,224164869189,136517572190
2007,10,200710,"281b",992179346,8774582274,5595131118,25106766211,224164869121,141553561455
2007,11,200711,"281b",858182806,9632765261,6453313603,22341102397,246505971636,163894663552
2007,11,200711,"281b",53,8774582455,5561750784,50,224164869239,141394865935
2007,12,200712,"281b",925189314,10557954575,5751004273,22942124617,269448096253,145438506598
2007,1,200701,"283b",113911754,142822770,893904677,60432888,79162888,511092620
2007,1,200701,"283b",28911016,28911016,851693229,18730000,18730000,479519120
2007,2,200702,"283b",58120871,239837256,842869900,25192206,131438094,471499922
2007,2,200702,"283b",38893615,181716385,837416160,27083000,106245888,471697040
2007,3,200703,"283b",69252064,309089320,792785128,42603845,174041939,455403533
2007,3,200703,"283b",177244252,486333572,901962709,79460031,253501970,492889564
2007,4,200704,"283b",112433208,598766780,936070056,74328084,327830054,519964648
2007,4,200704,"283b",92162569,690929349,972221815,41303654,369133708,529613943
2007,5,200705,"283b",58234354,803344745,960655049,38139772,430637291,525630715
2007,5,200705,"283b",54181042,745110391,863612824,23363811,392497519,471444434
2007,6,200706,"283b",74612088,877956833,924100821,42479688,473116979,503960979
2007,6,200706,"283b",66990143,944946976,944946976,29514152,502631131,502631131
2007,7,200707,"283b",179473290,1265460270,1010508512,82696145,659965805,524894388
