"co_isic_secao","no_isic_secao","co_cuci_pos","no_cuci_pos"
"C","Indústria de Transformação","785","Motocicletas, bicicletas motorizadas ou não e veículos para inválidos"
"C","Indústria de Transformação","513","Ácidos carboxílicos e seus anidridos, halogenetos, peróxidos e perácidos e seus derivados"
"C","Indústria de Transformação","541","Medicamentos e produtos farmacêuticos, exceto veterinários"
"C","Indústria de Transformação","774","Aparelho eletrodiagnósticos para usos medicinais, cirúrgicos, dentários ou veterinários, e aparelho radiológico"
"C","Indústria de Transformação","727","Máquinas de processamento de alimentos (excluindo domésticas), e suas partes"
"C","Indústria de Transformação","251c","Celulose"
"C","Indústria de Transformação","763","Aparelhos de gravação de som ou de reprodução, gravação de vídeo ou de reprodução, mesmo incorporando um receptor de sinais de vídeo"
"C","Indústria de Transformação","091","Margarina e reduções"
"C","Indústria de Transformação","277c","Outros abrasivos naturais"
"A","Agropecuária","061a","Mel natural"
"C","Indústria de Transformação","111","Outras bebidas não-alcoólicas"
"C","Indústria de Transformação","285c","Alumina (óxido de alumínio), exceto corindo artificial"
"B","Indústria Extrativa","321","Carvão, mesmo em pó, mas não aglomerado"
"C","Indústria de Transformação","782","Veículos automóveis para transporte de mercadorias e usos especiais"
"C","Indústria de Transformação","885","Relógios"
"C","Indústria de Transformação","894","Carrinhos de bebê, brinquedos, jogos e artigos esportivos"
"C","Indústria de Transformação","012c1","Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas"
"C","Indústria de Transformação","652","Tecidos de algodão, telas (não incluindo as fitas ou especiais)"
"C","Indústria de Transformação","692","Recipientes de metal para armazenamento ou transporte"
"C","Indústria de Transformação","223c","Outras farinhas e pós de sementes oleaginosas"
"C","Indústria de Transformação","422","Gorduras e óleos vegetais, em bruto, refinados ou fracionados (excluídos ""soft"")"
"C","Indústria de Transformação","344","Gás de petróleo e outros hidrocarbonetos gasosos"
"C","Indústria de Transformação","846","Acessórios, de tecidos têxteis, mesmo de malha (exceto para bebês)"
"C","Indústria de Transformação","693","Produtos de fiação (excluindo fiação elétrica isolados) e grelhas de esgrima"
